testname,event,treatment,start,load,style.load,idle,features_number
LayerVSMatch,idle,T1-Ls,591.7999999821186,15783.200000017881,983.4000000059605,15783.800000011921,10000
(index):308 LayerVSMatch,idle,T1-Ls,847.1000000238419,19648.09999999404,1690.7999999821186,19649.79999998212,10000
(index):308 LayerVSMatch,idle,T2-Ls,3412.2000000178814,1575.7999999821186,281.59999999403954,1582.5,10000
(index):308 LayerVSMatch,idle,T3-Pt,611.5,9688.90000000596,1403.9000000059605,9691,10000
(index):308 LayerVSMatch,idle,T3-Pt,2207.7999999821186,8303.300000011921,2971.2000000178814,8306.200000017881,10000
(index):308 LayerVSMatch,idle,T2-Pt,3740,3540.4000000059605,1528.300000011921,3597.5,10000
(index):308 LayerVSMatch,idle,T3-Ls,611,8583.199999988079,1447.699999988079,8584.300000011921,10000
(index):308 LayerVSMatch,idle,T1-Pt,7917.899999976158,21820.600000023842,1601.6000000238419,21821.70000001788,10000
(index):308 LayerVSMatch,idle,T1-Pt,4667,24810.80000001192,2132.4000000059605,24811.90000000596,10000
(index):308 LayerVSMatch,idle,T3-Pt,1813.7000000178814,7377.5999999940395,2578.0999999940395,7379.299999982119,10000
(index):308 LayerVSMatch,idle,T2-Pt,4308,1995.4000000059605,376.19999998807907,2038.800000011921,10000
(index):308 LayerVSMatch,idle,T2-Ls2,610.4000000059605,2453.4000000059605,464,2453.5,10000
(index):308 LayerVSMatch,idle,T3-Pt,603.0999999940395,6698.4000000059605,1279.2000000178814,6700.100000023842,10000
(index):308 LayerVSMatch,idle,T2-Ls,4060.800000011921,2152.199999988079,363.5,2328.9000000059605,10000
(index):308 LayerVSMatch,idle,T2-Ls2,606.3000000119209,2290.7999999821186,418.09999999403954,2290.9000000059605,10000
(index):308 LayerVSMatch,idle,T3-Ls,603.5999999940395,7087.4000000059605,1049.5,7088.699999988079,10000
(index):308 LayerVSMatch,idle,T3-Pt,4048.800000011921,7758,2388.0999999940395,7769.699999988079,10000
(index):308 LayerVSMatch,idle,T1-Ls,4720.5999999940395,19111.5,1398,19112.40000000596,10000
(index):308 LayerVSMatch,idle,T3-Ls,4009.300000011921,10660.09999999404,2916.399999976158,10661.799999982119,10000
(index):308 LayerVSMatch,idle,T2-Ls2,3880.5999999940395,4362.200000017881,1920.2000000178814,4624.800000011921,10000
(index):308 LayerVSMatch,idle,T1-Pt,603.8999999761581,23017,2505.9000000059605,23020.30000001192,10000
(index):308 LayerVSMatch,idle,T1-Pt,3617.5,20863,3069.7999999821186,20866.19999998808,10000
(index):308 LayerVSMatch,idle,T2-Ls2,2230.9000000059605,3625.7000000178814,1365.4000000059605,3625.800000011921,10000
(index):308 LayerVSMatch,idle,T2-Pt,598.5999999940395,1703.5,319,1703.6000000238419,10000
(index):308 LayerVSMatch,idle,T1-Pt,471.80000001192093,19035.69999998808,1484.0999999940395,19036.80000001192,10000
(index):308 LayerVSMatch,idle,T2-Ls2,2426.4000000059605,3687.2000000178814,1728.7000000178814,3955.4000000059605,10000
(index):308 LayerVSMatch,idle,T2-Ls2,596.4000000059605,2567.5999999940395,389.7999999821186,2567.699999988079,10000
(index):308 LayerVSMatch,idle,T3-Ls,604.5999999940395,7989.5,1185.7999999821186,7991.699999988079,10000
(index):308 LayerVSMatch,idle,T1-Ls,2540.2999999821186,19727,2499.5999999940395,19728.09999999404,10000
(index):308 LayerVSMatch,idle,T2-Ls,2104.100000023842,3017.199999988079,916.1999999880791,3017.2999999821186,10000
LayerVSMatch,idle,T1-Ls,595.6000000238419,20265.29999998212,1576.8999999761581,20266.29999998212,10000
(index):308 LayerVSMatch,idle,T3-Pt,4285.0999999940395,7398.4000000059605,1109.300000011921,7399.300000011921,10000
(index):308 LayerVSMatch,idle,T2-Pt,1442.0999999940395,3077.0999999940395,1416.699999988079,3345.2999999821186,10000
(index):308 LayerVSMatch,idle,T3-Ls,457.90000000596046,6588.300000011921,869.7000000178814,6589.300000011921,10000
(index):308 LayerVSMatch,idle,T2-Ls2,2197.0999999940395,3575.9000000059605,1533.9000000059605,3576,10000
(index):308 LayerVSMatch,idle,T3-Pt,552.7000000178814,5484.899999976158,1006.5,5485.799999982119,10000
(index):308 LayerVSMatch,idle,T3-Pt,2921.199999988079,6725.700000017881,1941.0999999940395,6730.200000017881,10000
(index):308 LayerVSMatch,idle,T1-Ls,3111.800000011921,18920.69999998808,2730.699999988079,18921.899999976158,10000
(index):308 LayerVSMatch,idle,T2-Ls2,2909.5999999940395,3422.7000000178814,1578.0999999940395,3683.5,10000
(index):308 LayerVSMatch,idle,T3-Pt,601,5699.899999976158,936.7999999821186,5702,10000
(index):308 LayerVSMatch,idle,T3-Ls,2654.4000000059605,8383.09999999404,2386.5,8385.799999982119,10000
(index):308 LayerVSMatch,idle,T1-Pt,3647.7000000178814,16553.79999998212,1599.2999999821186,16556.09999999404,10000
(index):308 LayerVSMatch,idle,T2-Pt,2691.199999988079,3048.2000000178814,1492.7000000178814,3300,10000
(index):308 LayerVSMatch,idle,T1-Ls,511.2999999821186,21981.90000000596,1112.4000000059605,21983.40000000596,10000
(index):308 LayerVSMatch,idle,T2-Ls2,3671.9000000059605,4045.2999999821186,2247.699999988079,4101.799999982119,10000
(index):308 LayerVSMatch,idle,T2-Ls,601.5,1735.2000000178814,365.90000000596046,1834.2000000178814,10000
(index):308 LayerVSMatch,idle,T2-Ls,587.1999999880791,1939.5999999940395,297.59999999403954,1939.5999999940395,10000
(index):308 LayerVSMatch,idle,T2-Ls,599.3000000119209,1720.9000000059605,295.19999998807907,1786.9000000059605,10000
(index):308 LayerVSMatch,idle,T2-Ls2,602.2000000178814,2654.5999999940395,441.69999998807907,2658.2999999821186,10000
(index):308 LayerVSMatch,idle,T3-Ls,607.7999999821186,8412.800000011921,1324,8414.200000017881,10000
